Game,StdDev_Sentiment,TotalNegative,TotalPositive,StdDev_ContainWord
"""Aha! I Found It!"" Hidden Object Game",0,10,11,0.200196367253978
"""Aha! I Got It!"" Escape Game",3,2,4,9.08299757588196e-02
#Breakforcist Battle,3,6,10,0.164652954124269
#DRIVE,-1,3,3,9.08367719933833e-02
#Funtime,-21,28,24,0.159768664753292
#IDARB,-1,3,3,9.08367719933833e-02
#KILLALLZOMBIES,-10,18,15,0.141072282786035
#RaceDieRun,1,5,6,0.154817348782672
#SinucaAttack,-9,7,4,0.141516048211199
#WarGames,-6,5,3,0.10486376262707
"'Splosion Man",-6,6,4,0.128442169985475
"'n Verlore Verstand",-3,3,2,8.17213268526399e-02
-KLAUS-,-12,8,3,0.125279162836342
.detuned,4,3,5,0.104878478902404
.hack//G.U. Last Recode,6,3,6,0.125345667710064
.hack//G.U. vol. 1//Rebirth,-2,3,3,5.9460044131941e-02
.hack//G.U. vol. 2//Reminisce,4,4,4,0.145655776941831
.hack//G.U. vol. 3//Redemption,2,4,5,8.63944334140533e-02
.hack//Infection Part 1,-8,6,3,0.122153020930226
.hack//Mutation Part 2,-5,5,2,9.90925044111772e-02
.hack//Outbreak Part 3,4,4,7,0.122183339377189
.hack//Quarantine Part 4,-5,5,3,0.106728785546688
0 Day Attack on Earth,-1,2,2,5.05320418612521e-02
0 Degrees,-8,7,5,0.156050043015473
007 Legends,-2,17,17,0.121100685268885
007 Racing,2,3,3,0.115580756020692
007: Quantum of Solace,0,14,14,0.123244514778309
007: The World is Not Enough,2,3,3,0.101071720548981
007: The World is not Enough,-4,5,4,0.122183339377189
1-2-Switch,0,7,7,0.156081687342789
10 Second Ninja X,-6,14,15,0.152239182947995
10 Second Run Returns,-10,10,6,0.163412434813213
10-in-1: Arcade Collection,-2,4,4,0.128461393538675
1000 Tiny Claws,-1,2,2,5.05320418612521e-02
1001 Spikes,-24,27,19,0.144546218498417
100ft Robot Golf,1,3,3,0.12379018821474
101 DinoPets 3D,-7,4,1,9.90738132958892e-02
101 Penguin Pets 3D,12,3,8,0.145587949223985
101 Pony Pets 3D,-6,4,2,0.118911005293413
101 Ways to Die,19,8,17,0.152841934491907
101-in-1 Explosive Megamix,-1,4,4,0.12379018821474
101-in-1 Megamix,3,2,4,6.42228866023943e-02
101-in-1 Party Megamix,10,2,7,0.125306261675307
101-in-1 Sports Party Megamix,-2,4,4,0.115580756020692
1080: Avalanche,-1,3,3,6.42252891419922e-02
10mg: Sealed Estate,-13,7,2,0.144218810735904
11-11: Memories Retold,-8,15,13,0.181650603935634
112 Operator,1,3,4,0.102999432022053
112th Seed,-3,4,3,9.91049631962976e-02
12 is Better Than 6,-7,8,6,0.146981086315304
12 orbits,9,4,8,0.146964285236605
13 Sentinels: Aegis Rim,-14,10,2,9.07870692136493e-02
140,-4,18,16,0.125348744152543
153 Hand Video Poker,6,2,4,0.115559389765584
18 Wheeler: American Pro Trucker,-16,14,6,9.39988897416144e-02
187 Ride or Die,-6,9,7,0.115566066095397
1912: Titanic Mystery,-2,5,8,0.13443972204557
1917: The Alien Invasion DX,8,8,12,0.192159542556348
1942: Joint Strike,1,8,7,0.124569424290172
1971 Project Helios,-9,15,13,0.13683289616551
1979 Revolution: Black Friday,-12,23,21,0.150934909750589
198X,5,20,27,0.170878667591433
1993 Shenandoah,-2,2,1,6.86622922458912e-02
2 Fast 4 Gnomz,-5,13,10,0.154163771177607
2002 FIFA World Cup,2,14,16,0.10105876999382
2010 FIFA World Cup South Africa,26,16,31,0.154138185147225
2014 FIFA World Cup Brazil,15,5,12,0.132186047883914
2048,-5,7,5,0.123775226716618
2048 Battles,3,3,4,0.117264942820175
2064: Read Only Memories,-10,15,12,0.164629284414432
2064: Read Only Memories INTEGRAL,7,4,8,0.126895458611235
