Game,Total_innovativeness,StdDev_innovativeness
20XX,0,0
9th Dawn III: Shadow of Erthil,2,0.165521177720474
AFL Evolution 2,0,0
AO International Tennis,0,0
AO Tennis 2,0,0
ARK: Survival Evolved,0,0
AVICII Invector,0,0
Acron: Attack of the Squirrels!,0,0
Age of Empires II: Definitive Edition,0,0
Age of Empires III: Definitive Edition,0,0
Age of Wonders: Planetfall,0,0
Ancestors Legacy,0,0
Animal Fight Club,0,0
Apex Legends,0,0
Aquanox Deep Descent,0,0
Armored Freedom,0,0
Ashen,0,0
Asterix & Obelix XXL 3: The Crystal Menhir,0,0
At Sundown: Shots in the Dark,0,0
"Baldur's Gate II: Enhanced Edition",0,0
Battle Supremacy,0,0
Battlestar Galactica Deadlock,0,0
Bee Simulator,0,0
Ben 10: Omniverse,0,0
Biped,0,0
Black Desert,0,0
"Black Future '88",0,0
Black Paradox,0,0
Blade Strangers,0,0
Blaston,0,0
Bleed,0,0
Bleeding Edge,0,0
BlobCat,0,0
Bloodstained: Curse of the Moon 2,0,0
Brawlout,0,0
Cannibal Cuisine,0,0
Catan,0,0
Children of Morta,0,0
Claws of Furry,0,0
Code Shifter,0,0
Command & Conquer Remastered Collection,0,0
Conker: Live & Reloaded,0,0
Contra Anniversary Collection,0,0
"Cook, Serve, Delicious! 3?!",0,0
Crayola Scoot,0,0
Crusader Kings III,3,0.351123441588392
Crush Your Enemies!,0,0
Dark Quest 2,0,0
Dark Souls Trilogy,0,0
Darksiders Genesis,0,0
Dead End Job,0,0
Death Lap,0,0
Defiance,0,0
Defiance 2050,0,0
Degrees of Separation,0,0
Desert Child,0,0
Disco Dodgeball Remix,0,0
Disintegration,0,0
Divinity: Original Sin II - Definitive Edition,5,0.337868689199743
"Don't Even Think",0,0
Dragon Quest Builders 2,0,0
Duke of Defense,0,0
Dungeon Fighter Live: Fall of Hendon Myre,0,0
Dungeon Rushers,0,0
Dungeon of the Endless,0,0
Earthfall,0,0
Eight-Minute Empire,0,0
Embr,0,0
Eternal Card Game,0,0
EyeToy: Chat,0,0
F1 2020,0,0
FIA European Truck Racing Championship,0,0
FIFA 19,0,0
FIFA 21,0,0
Fantasy Strike,0,0
Feather,0,0
Fight Crab,3,0.351123441588392
Final Fantasy XIV Online: A Realm Reborn,0,0
Football Heroes Turbo,0,0
Football Manager 2020,0,0
Football Manager 2021,0,0
Friday The 13th: The Game - Ultimate Slasher Switch Edition,0,0
GENSOU SkyDrift,0,0
GRID,0,0
Gang Beasts,0,0
Gear.Club Unlimited 2: Porsche Edition,0,0
Genshin Impact,0,0
Gensokyo Defenders,0,0
Go! Sudoku,0,0
Grand Kingdom,0,0
"Guns, Gore & Cannoli 2",0,0
