Game,Sum_containword,TotalNegative,TotalPositive,StdDev_ContainWord
20XX,0,4,4,7.92817888472546e-02
9th Dawn III: Shadow of Erthil,-11,16,10,0.148967662971044
AFL Evolution 2,0,2,2,7.92895764597528e-02
AO International Tennis,0,2,2,7.92895764597528e-02
AO Tennis 2,-2,5,4,8.40901183092223e-02
ARK: Survival Evolved,0,2,2,7.92895764597528e-02
AVICII Invector,9,5,8,0.178366507940119
Acron: Attack of the Squirrels!,0,2,2,7.92895764597528e-02
Age of Empires II: Definitive Edition,-2,3,2,8.86449594959785e-02
Age of Empires III: Definitive Edition,0,2,2,7.92895764597528e-02
Age of Wonders: Planetfall,0,2,2,7.92895764597528e-02
Ancestors Legacy,0,2,2,7.92895764597528e-02
Animal Fight Club,0,2,2,7.92895764597528e-02
Apex Legends,-2,3,2,8.86449594959785e-02
Aquanox Deep Descent,0,2,2,7.92895764597528e-02
Armored Freedom,0,2,2,7.92895764597528e-02
Ashen,0,2,2,7.92895764597528e-02
Asterix & Obelix XXL 3: The Crystal Menhir,-5,10,8,8.69562030000948e-02
At Sundown: Shots in the Dark,-2,5,4,8.40901183092223e-02
"Baldur's Gate II: Enhanced Edition",-12,7,2,0.137252639714354
Battle Supremacy,0,2,2,7.92895764597528e-02
Battlestar Galactica Deadlock,0,2,2,7.92895764597528e-02
Bee Simulator,0,3,3,0.115583426524869
Ben 10: Omniverse,0,2,2,7.92895764597528e-02
Biped,0,2,2,7.92895764597528e-02
Black Desert,0,2,2,7.92895764597528e-02
"Black Future '88",0,4,4,7.92817888472546e-02
Black Paradox,12,6,11,0.10104932430127
Blade Strangers,-8,10,10,0.132950317528034
Blaston,0,2,2,7.92895764597528e-02
Bleed,-2,3,2,8.86449594959785e-02
Bleeding Edge,-6,7,6,0.148318486200638
BlobCat,4,3,4,0.108560351665688
Bloodstained: Curse of the Moon 2,0,2,2,7.92895764597528e-02
Brawlout,0,4,4,7.92817888472546e-02
Cannibal Cuisine,0,2,2,7.92895764597528e-02
Catan,0,2,2,7.92895764597528e-02
Children of Morta,-13,19,15,0.142453608173774
Claws of Furry,0,2,2,7.92895764597528e-02
Code Shifter,0,2,2,7.92895764597528e-02
Command & Conquer Remastered Collection,0,2,2,7.92895764597528e-02
Conker: Live & Reloaded,-1,4,5,0.117270207062361
Contra Anniversary Collection,0,2,2,7.92895764597528e-02
"Cook, Serve, Delicious! 3?!",0,2,2,7.92895764597528e-02
Crayola Scoot,0,4,4,7.92817888472546e-02
Crusader Kings III,2,6,7,0.170516871599945
Crush Your Enemies!,0,2,2,7.92895764597528e-02
Dark Quest 2,0,2,2,7.92895764597528e-02
Dark Souls Trilogy,5,3,5,0.120558915605004
Darksiders Genesis,-4,6,4,8.86362530225011e-02
Dead End Job,0,2,2,7.92895764597528e-02
Death Lap,0,2,2,7.92895764597528e-02
Defiance,0,4,4,7.92817888472546e-02
Defiance 2050,2,5,8,0.137331327382305
Degrees of Separation,3,8,9,9.7767954658506e-02
Desert Child,0,4,4,7.92817888472546e-02
Disco Dodgeball Remix,0,2,2,7.92895764597528e-02
Disintegration,0,2,2,7.92895764597528e-02
Divinity: Original Sin II - Definitive Edition,3,10,11,0.109158231036632
"Don't Even Think",-15,8,2,0.149539734034334
Dragon Quest Builders 2,0,2,2,7.92895764597528e-02
Duke of Defense,0,2,2,7.92895764597528e-02
Dungeon Fighter Live: Fall of Hendon Myre,0,2,2,7.92895764597528e-02
Dungeon Rushers,0,2,2,7.92895764597528e-02
Dungeon of the Endless,1,6,6,0.102031807825762
Earthfall,4,9,11,0.135879868991432
