Game,StdDev_Sentiment,TotalNegative,TotalPositive,StdDev_ContainWord
"""Aha! I Found It!"" Hidden Object Game",14,4,8,0.126882995274898
"""Aha! I Got It!"" Escape Game",0,4,4,7.92817888472546e-02
#Breakforcist Battle,0,4,4,7.92817888472546e-02
#DRIVE,0,4,4,7.92817888472546e-02
#Funtime,0,12,12,7.92765983802061e-02
#IDARB,0,4,4,7.92817888472546e-02
#KILLALLZOMBIES,-4,14,12,8.25132841977151e-02
#RaceDieRun,4,4,6,8.86362530225011e-02
#SinucaAttack,0,4,4,7.92817888472546e-02
#WarGames,0,4,4,7.92817888472546e-02
"'Splosion Man",0,4,4,7.92817888472546e-02
"'n Verlore Verstand",0,4,4,7.92817888472546e-02
-KLAUS-,0,4,4,7.92817888472546e-02
.detuned,0,4,4,7.92817888472546e-02
.hack//G.U. Last Recode,0,4,4,7.92817888472546e-02
.hack//G.U. vol. 1//Rebirth,-4,10,10,0.128448776400351
.hack//G.U. vol. 2//Reminisce,18,4,12,0.12372815607339
.hack//G.U. vol. 3//Redemption,14,18,22,0.206913274518378
.hack//Infection Part 1,20,4,16,0.115505299660098
.hack//Mutation Part 2,-6,6,4,9.90952293689209e-02
.hack//Outbreak Part 3,-8,12,8,0.125345667226369
.hack//Quarantine Part 4,4,4,6,8.86362530225011e-02
0 Day Attack on Earth,-18,18,8,0.149599327884501
0 Degrees,0,4,4,7.92817888472546e-02
007 Legends,0,12,12,7.92765983802061e-02
007 Racing,0,4,4,7.92817888472546e-02
007: Quantum of Solace,6,14,18,8.93686322464419e-02
007: The World is Not Enough,14,10,16,0.164618036875872
007: The World is not Enough,0,4,4,7.92817888472546e-02
1-2-Switch,14,6,10,0.123748108004031
10 Second Ninja X,0,8,8,7.92778959013954e-02
10 Second Run Returns,10,4,10,9.90827718074695e-02
10-in-1: Arcade Collection,-20,22,14,0.160974154245986
1000 Tiny Claws,0,4,4,7.92817888472546e-02
1001 Spikes,-20,36,26,0.115559390224591
100ft Robot Golf,0,4,4,7.92817888472546e-02
101 DinoPets 3D,0,4,4,7.92817888472546e-02
101 Penguin Pets 3D,0,4,4,7.92817888472546e-02
101 Pony Pets 3D,8,4,10,9.29528589891158e-02
101 Ways to Die,8,14,20,0.118914248972515
101-in-1 Explosive Megamix,-24,12,4,0.148247724495928
101-in-1 Megamix,0,4,4,7.92817888472546e-02
101-in-1 Party Megamix,6,6,12,0.102983322625713
101-in-1 Sports Party Megamix,0,4,4,7.92817888472546e-02
1080: Avalanche,0,4,4,7.92817888472546e-02
10mg: Sealed Estate,-4,6,4,8.86362530225011e-02
11-11: Memories Retold,-4,10,8,8.40859892616487e-02
112 Operator,0,4,4,7.92817888472546e-02
112th Seed,0,4,4,7.92817888472546e-02
12 is Better Than 6,0,4,4,7.92817888472546e-02
12 orbits,0,4,4,7.92817888472546e-02
13 Sentinels: Aegis Rim,0,4,4,7.92817888472546e-02
140,0,16,16,7.92759496435017e-02
153 Hand Video Poker,0,4,4,7.92817888472546e-02
18 Wheeler: American Pro Trucker,-4,16,20,0.102345313434581
187 Ride or Die,-40,32,20,0.15726315203952
1912: Titanic Mystery,-4,6,4,8.86362530225011e-02
1917: The Alien Invasion DX,0,4,4,7.92817888472546e-02
1942: Joint Strike,6,14,18,0.109455036846883
1971 Project Helios,26,16,26,0.114984022964126
1979 Revolution: Black Friday,-22,20,12,0.102973251039615
198X,-12,18,12,8.86304501318587e-02
1993 Shenandoah,0,4,4,7.92817888472546e-02
2 Fast 4 Gnomz,-8,16,14,0.110347364560281
2002 FIFA World Cup,6,24,30,0.108099412638531
2010 FIFA World Cup South Africa,16,24,32,0.110344655552595
2014 FIFA World Cup Brazil,-4,14,12,0.102984258642017
2048,0,6,6,9.7099964285426e-02
2048 Battles,0,4,4,7.92817888472546e-02
2064: Read Only Memories,0,8,8,7.92778959013954e-02
2064: Read Only Memories INTEGRAL,0,4,4,7.92817888472546e-02
20XX,0,12,12,7.92765983802061e-02
24: The Game,0,4,4,7.92817888472546e-02
25 to Life,-2,12,12,9.40118145415728e-02
2Dark,0,8,8,7.92778959013954e-02
2MD VR Football,0,4,4,7.92817888472546e-02
2MD: VR Football Unleashed,0,4,4,7.92817888472546e-02
2URVIVE,0,4,4,7.92817888472546e-02
3 on 3 NHL Arcade,16,24,38,0.162221777785861
3 out of 10 Episode 1: Welcome to Shovelworks,10,8,12,0.146979248533049
3 out of 10: Season One,-8,16,12,8.56269113599187e-02
3 out of 10: Season Two,0,4,4,7.92817888472546e-02
"3, 2, 1...SuperCrash!",0,4,4,7.92817888472546e-02
3-2-1 Rattle Battle,0,4,4,7.92817888472546e-02
30-in-1 Game Collection: Volume 1,0,4,4,7.92817888472546e-02
3000th Duel,-20,20,10,0.177235944781747
300: March to Glory,0,4,4,7.92817888472546e-02
35 Junior Games,0,4,4,7.92817888472546e-02
36 Fragments of Midnight,0,4,4,7.92817888472546e-02
360 Breakout,0,4,4,7.92817888472546e-02
39 Days to Mars,0,8,8,7.92778959013954e-02
3D After Burner II,-10,10,6,0.106718302927643
3D Altered Beast,0,4,4,7.92817888472546e-02
3D Classics: Excitebike,12,4,10,0.108535473451659
3D Classics: Kid Icarus,0,4,4,7.92817888472546e-02
"3D Classics: Kirby's Adventure",0,4,4,7.92817888472546e-02
3D Classics: TwinBee,0,4,4,7.92817888472546e-02
3D Classics: Urban Champion,0,4,4,7.92817888472546e-02
3D Classics: Xevious,24,4,18,0.125266858248301
3D Dot Game Heroes,16,8,18,0.137284124610059
3D Ecco the Dolphin,0,4,4,7.92817888472546e-02
3D Fantasy Zone,22,6,20,0.135813421980899
3D Galaxy Force II,0,4,4,7.92817888472546e-02
3D Game Collection: 55-in-1,0,4,4,7.92817888472546e-02
3D Gunstar Heroes,2,16,16,0.167009594826472
3D MahJongg,0,4,4,7.92817888472546e-02
3D MiniGolf,-16,18,14,0.175021240711631
3D Out Run,0,4,4,7.92817888472546e-02
3D Pixel Racing,0,10,10,0.115572074226406
3D Solitaire,0,4,4,7.92817888472546e-02
3D Sonic the Hedgehog,0,4,4,7.92817888472546e-02
3D Sonic the Hedgehog 2,0,4,4,7.92817888472546e-02
3D Space Harrier,0,4,4,7.92817888472546e-02
3D Streets of Rage II,0,4,4,7.92817888472546e-02
3D Super Hang-On,0,4,4,7.92817888472546e-02
3D Thunder Blade,0,4,4,7.92817888472546e-02
3D Twist & Match,0,4,4,7.92817888472546e-02
3D Ultra MiniGolf Adventures,8,4,8,9.70872507057596e-02
3D Ultra MiniGolf Adventures 2,0,8,8,7.92778959013954e-02
3Souls,0,4,4,7.92817888472546e-02
3on3 Freestyle,16,10,20,0.102973021911684
3rd Eye,0,4,4,7.92817888472546e-02
4 Elements,0,4,4,7.92817888472546e-02
4 Elements HD,10,6,10,0.120547074627162
428: Shibuya Scramble,0,4,4,7.92817888472546e-02
4x4 EVO 2,10,12,22,0.118084061970294
4x4 Evolution,14,10,16,0.10763851859292
5 Arcade Gems,0,4,4,7.92817888472546e-02
5 Spots Party,-4,6,4,8.86362530225011e-02
5 Star Wrestling,0,4,4,7.92817888472546e-02
5 Star Wrestling: ReGenesis,0,4,4,7.92817888472546e-02
5-in-1 Solitaire,0,4,4,7.92817888472546e-02
50 Cent: Blood on the Sand,8,12,18,0.102982011394037
50 Cent: Bulletproof,-2,10,10,8.52465546445189e-02
50 Cent: Bulletproof G Unit Edition,-40,20,4,0.165643558799131
50 Classic Games 3D,0,4,4,7.92817888472546e-02
